      x/c	   y/c
     1.000000    0.008700
     0.990514    0.011295
     0.975093    0.015476
     0.958155    0.019897
     0.939670    0.024555
     0.919705    0.029496
     0.898481    0.034704
     0.876283    0.040120
     0.853400    0.045669
     0.830084    0.051278
     0.806527    0.056889
     0.782860    0.062452
     0.759162    0.067939
     0.735495    0.073324
     0.711897    0.078588
     0.688404    0.083715
     0.665045    0.088684
     0.641832    0.093480
     0.618787    0.098085
     0.595914    0.102486
     0.573227    0.106665
     0.550742    0.110614
     0.528474    0.114313
     0.506444    0.117750
     0.484675    0.120908
     0.463191    0.123772
     0.442028    0.126333
     0.421220    0.128565
     0.400791    0.130452
     0.380766    0.131979
     0.361165    0.133137
     0.342019    0.133917
     0.323358    0.134313
     0.305209    0.134316
     0.287591    0.133916
     0.270512    0.133104
     0.253969    0.131866
     0.237944    0.130178
     0.222390    0.128027
     0.207283    0.125447
     0.192630    0.122483
     0.178466    0.119189
     0.164847    0.115615
     0.151828    0.111812
     0.139461    0.107831
     0.127782    0.103716
     0.116813    0.099517
     0.106562    0.095275
     0.097021    0.091027
     0.088171    0.086802
     0.079982    0.082622
     0.072416    0.078507
     0.065435    0.074469
     0.058997    0.070515
     0.053059    0.066651
     0.047584    0.062877
     0.042534    0.059193
     0.037874    0.055597
     0.033573    0.052085
     0.029604    0.048654
     0.025941    0.045298
     0.022563    0.042012
     0.019452    0.038789
     0.016591    0.035625
     0.013965    0.032515
     0.011564    0.029453
     0.009383    0.026432
     0.007415    0.023447
     0.005659    0.020492
     0.004123    0.017561
     0.002816    0.014646
     0.001753    0.011745
     0.000964    0.008856
     0.000432    0.005996
     0.000124    0.003180
     0.000002    0.000425
     0.000069   -0.002312
     0.000329   -0.005121
     0.000788   -0.007988
     0.001458   -0.010908
     0.002351   -0.013874
     0.003457   -0.016886
     0.004768   -0.019947
     0.006287   -0.023059
     0.008022   -0.026223
     0.009969   -0.029450
     0.012133   -0.032747
     0.014520   -0.036126
     0.017133   -0.039599
     0.019987   -0.043179
     0.023098   -0.046874
     0.026489   -0.050693
     0.030182   -0.054648
     0.034199   -0.058753
     0.038568   -0.063019
     0.043323   -0.067453
     0.048499   -0.072061
     0.054135   -0.076846
     0.060271   -0.081808
     0.066941   -0.086949
     0.074182   -0.092256
     0.082024   -0.097712
     0.090484   -0.103294
     0.099567   -0.108968
     0.109262   -0.114683
     0.119547   -0.120378
     0.130382   -0.125982
     0.141722   -0.131431
     0.153500   -0.136664
     0.165642   -0.141625
     0.178070   -0.146258
     0.190709   -0.150505
     0.203506   -0.154315
     0.216414   -0.157649
     0.229411   -0.160466
     0.242497   -0.162727
     0.255696   -0.164398
     0.269044   -0.165478
     0.282584   -0.165956
     0.296359   -0.165838
     0.310422   -0.165114
     0.324836   -0.163779
     0.339662   -0.161851
     0.354951   -0.159325
     0.370767   -0.156194
     0.387165   -0.152457
     0.404209   -0.148117
     0.421952   -0.143189
     0.440399   -0.137709
     0.459554   -0.131676
     0.479421   -0.125122
     0.499985   -0.118097
     0.521184   -0.110674
     0.542907   -0.102921
     0.565043   -0.094900
     0.587471   -0.086703
     0.609973   -0.078465
     0.632333   -0.070320
     0.654372   -0.062381
     0.675969   -0.054728
     0.697038   -0.047432
     0.717532   -0.040556
     0.737420   -0.034139
     0.756686   -0.028222
     0.775338   -0.022837
     0.793410   -0.018012
     0.810952   -0.013755
     0.828009   -0.010062
     0.844607   -0.006920
     0.860767   -0.004338
     0.876532   -0.002317
     0.891924   -0.000846
     0.906965    0.000095
     0.921654    0.000512
     0.936000    0.000406
     0.950020   -0.000260
     0.963771   -0.001549
     0.977348   -0.003552
     0.990888   -0.006349
     1.000000   -0.008700
